name	title	source	organism	experiment	well	individual	batch	description	molecule	processed1	processed2	processed3	processed4	processed5	processed6	raw
Sample 0795	03012018-C03-NA19193	LCL-derived iPSC	Homo sapiens	03012018	C03	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-C03-NA19193.fastq.gz
Sample 0796	03012018-C04-NA19193	LCL-derived iPSC	Homo sapiens	03012018	C04	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-C04-NA19193.fastq.gz
Sample 0797	03012018-C05-NA19159	LCL-derived iPSC	Homo sapiens	03012018	C05	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-C05-NA19159.fastq.gz
Sample 0798	03012018-C06-NA18505	LCL-derived iPSC	Homo sapiens	03012018	C06	NA18505	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-C06-NA18505.fastq.gz
Sample 0799	03012018-C07-NA19159	LCL-derived iPSC	Homo sapiens	03012018	C07	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-C07-NA19159.fastq.gz
Sample 0800	03012018-C08-NA19203	LCL-derived iPSC	Homo sapiens	03012018	C08	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-C08-NA19203.fastq.gz
Sample 0801	03012018-C09-NA19193	LCL-derived iPSC	Homo sapiens	03012018	C09	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-C09-NA19193.fastq.gz
Sample 0802	03012018-C10-NA19203	LCL-derived iPSC	Homo sapiens	03012018	C10	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-C10-NA19203.fastq.gz
Sample 0803	03012018-C11-NA19159	LCL-derived iPSC	Homo sapiens	03012018	C11	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-C11-NA19159.fastq.gz
Sample 0804	03012018-C12-NA19159	LCL-derived iPSC	Homo sapiens	03012018	C12	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-C12-NA19159.fastq.gz
Sample 0805	03012018-D01-NA19193	LCL-derived iPSC	Homo sapiens	03012018	D01	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-D01-NA19193.fastq.gz
Sample 0806	03012018-D02-NA19159	LCL-derived iPSC	Homo sapiens	03012018	D02	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-D02-NA19159.fastq.gz
Sample 0807	03012018-D03-NA18505	LCL-derived iPSC	Homo sapiens	03012018	D03	NA18505	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-D03-NA18505.fastq.gz
Sample 0808	03012018-D04-NA19159	LCL-derived iPSC	Homo sapiens	03012018	D04	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-D04-NA19159.fastq.gz
Sample 0809	03012018-D05-NA19193	LCL-derived iPSC	Homo sapiens	03012018	D05	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-D05-NA19193.fastq.gz
Sample 0810	03012018-D06-NA19193	LCL-derived iPSC	Homo sapiens	03012018	D06	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-D06-NA19193.fastq.gz
Sample 0811	03012018-D07-NA19159	LCL-derived iPSC	Homo sapiens	03012018	D07	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-D07-NA19159.fastq.gz
Sample 0812	03012018-D08-NA19159	LCL-derived iPSC	Homo sapiens	03012018	D08	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-D08-NA19159.fastq.gz
Sample 0813	03012018-D09-NA19159	LCL-derived iPSC	Homo sapiens	03012018	D09	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-D09-NA19159.fastq.gz
Sample 0814	03012018-D10-NA19203	LCL-derived iPSC	Homo sapiens	03012018	D10	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-D10-NA19203.fastq.gz
Sample 0815	03012018-D11-NA19203	LCL-derived iPSC	Homo sapiens	03012018	D11	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-D11-NA19203.fastq.gz
Sample 0816	03012018-D12-NA19203	LCL-derived iPSC	Homo sapiens	03012018	D12	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-D12-NA19203.fastq.gz
Sample 0817	03012018-E01-NA19193	LCL-derived iPSC	Homo sapiens	03012018	E01	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-E01-NA19193.fastq.gz
Sample 0818	03012018-E02-NA19203	LCL-derived iPSC	Homo sapiens	03012018	E02	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-E02-NA19203.fastq.gz
Sample 0819	03012018-E03-NA19193	LCL-derived iPSC	Homo sapiens	03012018	E03	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-E03-NA19193.fastq.gz
Sample 0820	03012018-E04-NA19193	LCL-derived iPSC	Homo sapiens	03012018	E04	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-E04-NA19193.fastq.gz
Sample 0821	03012018-E05-NA19159	LCL-derived iPSC	Homo sapiens	03012018	E05	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-E05-NA19159.fastq.gz
Sample 0822	03012018-E06-NA19159	LCL-derived iPSC	Homo sapiens	03012018	E06	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-E06-NA19159.fastq.gz
Sample 0823	03012018-E07-NA18505	LCL-derived iPSC	Homo sapiens	03012018	E07	NA18505	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-E07-NA18505.fastq.gz
Sample 0824	03012018-E08-NA19193	LCL-derived iPSC	Homo sapiens	03012018	E08	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-E08-NA19193.fastq.gz
Sample 0825	03012018-E09-NA19159	LCL-derived iPSC	Homo sapiens	03012018	E09	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-E09-NA19159.fastq.gz
Sample 0826	03012018-E10-NA18505	LCL-derived iPSC	Homo sapiens	03012018	E10	NA18505	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-E10-NA18505.fastq.gz
Sample 0827	03012018-E11-NA19159	LCL-derived iPSC	Homo sapiens	03012018	E11	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-E11-NA19159.fastq.gz
Sample 0828	03012018-E12-NA19159	LCL-derived iPSC	Homo sapiens	03012018	E12	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-E12-NA19159.fastq.gz
Sample 0829	03012018-F01-NA19159	LCL-derived iPSC	Homo sapiens	03012018	F01	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-F01-NA19159.fastq.gz
Sample 0830	03012018-F02-NA19203	LCL-derived iPSC	Homo sapiens	03012018	F02	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-F02-NA19203.fastq.gz
Sample 0831	03012018-F03-NA19193	LCL-derived iPSC	Homo sapiens	03012018	F03	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-F03-NA19193.fastq.gz
Sample 0832	03012018-F04-NA19193	LCL-derived iPSC	Homo sapiens	03012018	F04	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-F04-NA19193.fastq.gz
Sample 0833	03012018-F05-NA19203	LCL-derived iPSC	Homo sapiens	03012018	F05	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-F05-NA19203.fastq.gz
Sample 0834	03012018-F06-NA19203	LCL-derived iPSC	Homo sapiens	03012018	F06	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-F06-NA19203.fastq.gz
Sample 0835	03012018-F07-NA19159	LCL-derived iPSC	Homo sapiens	03012018	F07	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-F07-NA19159.fastq.gz
Sample 0836	03012018-F08-NA19159	LCL-derived iPSC	Homo sapiens	03012018	F08	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-F08-NA19159.fastq.gz
Sample 0837	03012018-F09-NA19193	LCL-derived iPSC	Homo sapiens	03012018	F09	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-F09-NA19193.fastq.gz
Sample 0838	03012018-F10-NA19203	LCL-derived iPSC	Homo sapiens	03012018	F10	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-F10-NA19203.fastq.gz
Sample 0839	03012018-F11-NA19193	LCL-derived iPSC	Homo sapiens	03012018	F11	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-F11-NA19193.fastq.gz
Sample 0840	03012018-F12-NA18505	LCL-derived iPSC	Homo sapiens	03012018	F12	NA18505	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-F12-NA18505.fastq.gz
Sample 0841	03012018-G01-NA18505	LCL-derived iPSC	Homo sapiens	03012018	G01	NA18505	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-G01-NA18505.fastq.gz
Sample 0842	03012018-G02-NA19159	LCL-derived iPSC	Homo sapiens	03012018	G02	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-G02-NA19159.fastq.gz
Sample 0843	03012018-G03-NA19193	LCL-derived iPSC	Homo sapiens	03012018	G03	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-G03-NA19193.fastq.gz
Sample 0844	03012018-G04-NA19159	LCL-derived iPSC	Homo sapiens	03012018	G04	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-G04-NA19159.fastq.gz
Sample 0845	03012018-G05-NA19203	LCL-derived iPSC	Homo sapiens	03012018	G05	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-G05-NA19203.fastq.gz
Sample 0846	03012018-G06-NA19159	LCL-derived iPSC	Homo sapiens	03012018	G06	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-G06-NA19159.fastq.gz
Sample 0847	03012018-G07-NA19159	LCL-derived iPSC	Homo sapiens	03012018	G07	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-G07-NA19159.fastq.gz
Sample 0848	03012018-G08-NA19193	LCL-derived iPSC	Homo sapiens	03012018	G08	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-G08-NA19193.fastq.gz
Sample 0849	03012018-G09-NA19193	LCL-derived iPSC	Homo sapiens	03012018	G09	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-G09-NA19193.fastq.gz
Sample 0850	03012018-G10-NA19193	LCL-derived iPSC	Homo sapiens	03012018	G10	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-G10-NA19193.fastq.gz
Sample 0851	03012018-G11-NA19203	LCL-derived iPSC	Homo sapiens	03012018	G11	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-G11-NA19203.fastq.gz
Sample 0852	03012018-G12-NA19203	LCL-derived iPSC	Homo sapiens	03012018	G12	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-G12-NA19203.fastq.gz
Sample 0853	03012018-H01-NA19203	LCL-derived iPSC	Homo sapiens	03012018	H01	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-H01-NA19203.fastq.gz
Sample 0854	03012018-H02-NA19203	LCL-derived iPSC	Homo sapiens	03012018	H02	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-H02-NA19203.fastq.gz
Sample 0855	03012018-H03-NA19203	LCL-derived iPSC	Homo sapiens	03012018	H03	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-H03-NA19203.fastq.gz
Sample 0856	03012018-H04-NA19159	LCL-derived iPSC	Homo sapiens	03012018	H04	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-H04-NA19159.fastq.gz
Sample 0857	03012018-H05-NA19159	LCL-derived iPSC	Homo sapiens	03012018	H05	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-H05-NA19159.fastq.gz
Sample 0858	03012018-H06-NA19193	LCL-derived iPSC	Homo sapiens	03012018	H06	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-H06-NA19193.fastq.gz
Sample 0859	03012018-H07-NA18505	LCL-derived iPSC	Homo sapiens	03012018	H07	NA18505	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-H07-NA18505.fastq.gz
Sample 0860	03012018-H08-NA19159	LCL-derived iPSC	Homo sapiens	03012018	H08	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-H08-NA19159.fastq.gz
Sample 0861	03012018-H09-NA19159	LCL-derived iPSC	Homo sapiens	03012018	H09	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-H09-NA19159.fastq.gz
Sample 0862	03012018-H10-NA18505	LCL-derived iPSC	Homo sapiens	03012018	H10	NA18505	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-H10-NA18505.fastq.gz
Sample 0863	03012018-H11-NA19203	LCL-derived iPSC	Homo sapiens	03012018	H11	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-H11-NA19203.fastq.gz
Sample 0864	03012018-H12-NA19203	LCL-derived iPSC	Homo sapiens	03012018	H12	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03012018-H12-NA19203.fastq.gz
Sample 0865	03052018-A01-NA19203	LCL-derived iPSC	Homo sapiens	03052018	A01	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-A01-NA19203.fastq.gz
Sample 0866	03052018-A02-NA18517	LCL-derived iPSC	Homo sapiens	03052018	A02	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-A02-NA18517.fastq.gz
Sample 0867	03052018-A03-NA18859	LCL-derived iPSC	Homo sapiens	03052018	A03	NA18859	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-A03-NA18859.fastq.gz
Sample 0868	03052018-A04-NA18517	LCL-derived iPSC	Homo sapiens	03052018	A04	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-A04-NA18517.fastq.gz
Sample 0869	03052018-A05-NA18859	LCL-derived iPSC	Homo sapiens	03052018	A05	NA18859	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-A05-NA18859.fastq.gz
Sample 0870	03052018-A06-NA18859	LCL-derived iPSC	Homo sapiens	03052018	A06	NA18859	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-A06-NA18859.fastq.gz
Sample 0871	03052018-A07-NA18859	LCL-derived iPSC	Homo sapiens	03052018	A07	NA18859	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-A07-NA18859.fastq.gz
Sample 0872	03052018-A08-NA18517	LCL-derived iPSC	Homo sapiens	03052018	A08	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-A08-NA18517.fastq.gz
Sample 0873	03052018-A09-NA18859	LCL-derived iPSC	Homo sapiens	03052018	A09	NA18859	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-A09-NA18859.fastq.gz
Sample 0874	03052018-A10-NA18517	LCL-derived iPSC	Homo sapiens	03052018	A10	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-A10-NA18517.fastq.gz
Sample 0875	03052018-A11-NA19159	LCL-derived iPSC	Homo sapiens	03052018	A11	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-A11-NA19159.fastq.gz
Sample 0876	03052018-A12-NA19203	LCL-derived iPSC	Homo sapiens	03052018	A12	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-A12-NA19203.fastq.gz
Sample 0877	03052018-B01-NA18859	LCL-derived iPSC	Homo sapiens	03052018	B01	NA18859	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-B01-NA18859.fastq.gz
Sample 0878	03052018-B02-NA18859	LCL-derived iPSC	Homo sapiens	03052018	B02	NA18859	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-B02-NA18859.fastq.gz
Sample 0879	03052018-B03-NA18859	LCL-derived iPSC	Homo sapiens	03052018	B03	NA18859	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-B03-NA18859.fastq.gz
Sample 0880	03052018-B04-NA19159	LCL-derived iPSC	Homo sapiens	03052018	B04	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-B04-NA19159.fastq.gz
Sample 0881	03052018-B05-NA18859	LCL-derived iPSC	Homo sapiens	03052018	B05	NA18859	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-B05-NA18859.fastq.gz
Sample 0882	03052018-B06-NA19159	LCL-derived iPSC	Homo sapiens	03052018	B06	NA19159	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-B06-NA19159.fastq.gz
Sample 0883	03052018-B07-NA18517	LCL-derived iPSC	Homo sapiens	03052018	B07	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-B07-NA18517.fastq.gz
Sample 0884	03052018-B08-NA19203	LCL-derived iPSC	Homo sapiens	03052018	B08	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-B08-NA19203.fastq.gz
Sample 0885	03052018-B09-NA18517	LCL-derived iPSC	Homo sapiens	03052018	B09	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-B09-NA18517.fastq.gz
Sample 0886	03052018-B10-NA18859	LCL-derived iPSC	Homo sapiens	03052018	B10	NA18859	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-B10-NA18859.fastq.gz
Sample 0887	03052018-B11-NA19203	LCL-derived iPSC	Homo sapiens	03052018	B11	NA19203	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-B11-NA19203.fastq.gz
Sample 0888	03052018-B12-NA18517	LCL-derived iPSC	Homo sapiens	03052018	B12	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	03052018-B12-NA18517.fastq.gz
